ID,nombre,Forma,Ubicación,tipos,Prioridad,Costo,Rango etario,Apertura,Barrio,Icono,tamañoIcono,Descripcion,Planes,iconoUnico
1,Teatro Colón,,"-34.601110580650506, -58.383384273770965","monumento, teatro",imperdible,medio,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Retiro,TeatroColon,140,"Considerado uno de los cinco mejores teatros líricos del mundo. Inaugurado en 1908, su acústica es legendaria. Ofrece visitas guiadas diarias para conocer su historia y arquitectura.","cultural,nocturno",TRUE
2,Puente De La Mujer,,"-34.607982373285544, -58.3651533279612",monumento,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Puerto Madero,PuenteDeLaMujer,140,"Puente peatonal giratorio diseñado por Santiago Calatrava, inaugurado en 2001. Su forma evoca a una pareja de tango. Es el símbolo más representativo de Puerto Madero.","cultural,romantico",TRUE
3,Floralis Genérica,,"-34.58167736824553, -58.393974910309346","monumento, parque",opcional,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,FloralisGenerica,140,Escultura metálica de 23 metros de altura donada por el arquitecto Eduardo Catalano en 2002. Sus pétalos de acero y aluminio se cierran al atardecer y se abren al amanecer.,"cultural,ninos,picnic,romantico,trekking",TRUE
4,El Rosedal,,"-34.57050808289602, -58.41725669951367",parque,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Palermo,Parque,60,Jardín de rosas ubicado dentro del Parque Tres de Febrero en Palermo. Cuenta con más de 18.000 rosales de 1.000 variedades distintas. Ideal para pasear en primavera cuando florecen.,"ninos,picnic,romantico,trekking",FALSE
5,Cementerio de la Recoleta,,"-34.58736916789037, -58.39297116145574","historico, monumento",recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Recoleta,CementerioDeLaRecoleta,140,"Uno de los cementerios más bellos del mundo, fundado en 1822. Aquí descansan los restos de Eva Perón y numerosas figuras históricas. Sus mausoleos son verdaderas obras de arte.","cultural,romantico",TRUE
6,Biblioteca Nacional,,"-34.58412613211424, -58.39802796212871",historico,imperdible,gratuito,"jóvenes, adultos, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado",Recoleta,BibliotecaNacional,140,La biblioteca más importante del país con más de 3 millones de volúmenes. Su edificio brutalista inaugurado en 1992 es imponente. Ofrece exposiciones temporarias y acceso gratuito.,cultural,TRUE
7,Caminito,,"-34.636338, -58.363478",historico,imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",La Boca,Caminito,140,Calle museo a cielo abierto en el corazón de La Boca. Sus casas de chapa pintadas con colores vivos son el ícono más fotografiado de Buenos Aires. Artistas y milongueros animan el paseo.,"cultural,nocturno,tango",TRUE
8,Galerías Pacífico,,"-34.599254, -58.374768","shopping, monumento",imperdible,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,Shopping,60,Centro comercial en un edificio Monumento Histórico Nacional. Sus frescos en la cúpula central fueron pintados por grandes muralistas argentinos en 1946.,cultural,FALSE
9,Tranvía Histórico,,"-34.621041, -58.446068",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","sábado, domingo",Caballito,historico,40,Uno de los últimos tranvías en funcionamiento de América Latina. Opera los fines de semana por las calles de Caballito. Una experiencia única que transporta al Buenos Aires de principios del siglo XX.,cultural,FALSE
10,Parque de la Costa,,"-34.4184, -58.5746",Parque tematico,recomendado,medio,"jóvenes, adultos, niños","sábado, domingo",Tigre,Parque,40,"Parque de diversiones a orillas del río en Tigre. Ideal para familias con niños. Cuenta con montañas rusas, juegos acuáticos y espectáculos. A 40 minutos de Buenos Aires en tren.","ninos,picnic,trekking",FALSE
11,Casa Rosada,,"-34.608242, -58.370147",historico,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,historico,40,Sede del Poder Ejecutivo de la Nación Argentina. Su fachada rosada frente a Plaza de Mayo es uno de los símbolos más reconocibles del país. Ofrece visitas guiadas los fines de semana.,cultural,FALSE
12,Plaza de Mayo,,"-34.608353, -58.372261",monumento,recomendado,gratuito,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Microcentro,Parque,40,"Corazón histórico y político de Buenos Aires desde 1580. Rodeada por la Casa Rosada, el Cabildo y la Catedral Metropolitana. Escenario de los momentos más importantes de la historia argentina.","cultural,picnic,trekking",FALSE
13,Palacio Barolo,,"-34.609618, -58.385854",monumento,opcional,medio,"jóvenes, adultos","lunes, martes, miércoles, jueves, viernes, sábado",Congreso,Teatro,60,"Edificio art déco inaugurado en 1923, inspirado en la Divina Comedia de Dante. Con 100 metros de altura fue el más alto de Sudamérica. Los tours nocturnos al faro ofrecen vistas increíbles.","cultural,nocturno",FALSE
14,Cadore,,"-34.604089, -58.390627","gastronomico, heladería",recomendado,medio,"jóvenes, adultos, niños, adultos mayores","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Centro,Helado,40,"Heladería artesanal fundada en 1957 en plena Avenida Corrientes. Famosa por su dulce de leche granizado, considerado por muchos el mejor helado de Buenos Aires. Un clásico imperdible.",nocturno,FALSE
15,El Cuartito,,"-34.597796, -58.385418",gastronomico,recomendado,medio,"jóvenes, adultos","lunes, martes, miércoles, jueves, viernes, sábado, domingo",Centro,Almuerzo,40,Pizzería histórica fundada en 1934 en el centro porteño. Sus paredes tapizadas de fotos y recuerdos deportivos la convierten en un museo. La pizza al molde es legendaria en Buenos Aires.,nocturno,FALSE
